source_universe,Instrument,DSPLY_NAME,BID,ASK,MID_PRICE,TRDPRC_1,MATUR_DATE,EXPIR_DATE
0#MXN=,MXNCONTINFO,,,,,,,
0#MXN=,MXN=,HSBC         NYC,17.3746,17.3851,17.3799,,,
0#MXN=,MXN=DDBK,,17.3746,17.3851,,,,
0#MXN=,MXN=ACTI,,17.37245,17.38245,,,,
0#MXN=,MXN=HSBN,,,,,,,
MXN1M=,MXN1M=,NAB          SYD,0.0453,0.0497,0.0475,,2026-07-01,
MXN3M=,MXN3M=,NAB          SYD,0.135,0.141,0.138,,2026-09-01,
MXN6M=,MXN6M=,NAB          SYD,0.2635,0.2765,0.27,,2026-12-01,
MXN1Y=,MXN1Y=,NAB          SYD,0.5295,0.5805,0.555,,2027-06-01,
